172.16.134.104, 2013-06-09 15:20:14, POST, /admin/default/check_version, HTTP/1.1, 200, 7.908023
172.16.134.104, 2013-06-09 15:20:20, GET, /favicon.ico, HTTP/1.1, 400, 0.001415
172.16.134.104, 2013-06-09 15:20:20, GET, /favicon.ico, HTTP/1.1, 400, 0.000771
172.16.134.104, 2013-06-09 15:20:24, GET, /favicon.ico, HTTP/1.1, 400, 0.000276
172.16.134.104, 2013-06-11 10:21:51, GET, /, HTTP/1.1, 303, 0.010592
172.16.134.104, 2013-06-11 10:21:51, GET, /welcome/default/index, HTTP/1.1, 200, 0.126246
172.16.134.104, 2013-06-11 10:21:51, GET, /welcome/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.001281
172.16.134.104, 2013-06-11 10:21:51, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.001550
172.16.134.104, 2013-06-11 10:21:51, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.000830
172.16.134.104, 2013-06-11 10:21:51, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.002489
172.16.134.104, 2013-06-11 10:21:51, GET, /welcome/static/css/web2py.css, HTTP/1.1, 200, 0.000501
172.16.134.104, 2013-06-11 10:21:52, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.013866
172.16.134.104, 2013-06-11 10:21:52, GET, /welcome/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.020031
172.16.134.104, 2013-06-11 10:21:52, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.090003
172.16.134.104, 2013-06-11 10:21:52, GET, /welcome/static/css/web2py_bootstrap.css, HTTP/1.1, 200, 0.001680
172.16.134.104, 2013-06-11 10:21:52, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000708
172.16.134.104, 2013-06-11 10:21:52, GET, /welcome/static/js/web2py_bootstrap.js, HTTP/1.1, 200, 0.042149
172.16.134.104, 2013-06-11 10:21:52, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.001366
172.16.134.104, 2013-06-11 10:21:52, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.000439
172.16.134.104, 2013-06-11 10:21:52, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.002658
172.16.134.104, 2013-06-11 10:21:52, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.006085
172.16.134.104, 2013-06-11 10:21:52, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000772
172.16.134.104, 2013-06-11 10:21:57, GET, /admin, HTTP/1.1, 200, 0.128102
172.16.134.104, 2013-06-11 10:21:58, GET, /favicon.ico, HTTP/1.1, 400, 0.000496
